file	contest	choice	db	details	barcode
003328.jpg	GOVERNOR	ROBERT C. NEWMAN, II	1	0	10001160100004	10001160100004
004245.jpg	INSURANCE COMMISSIONER	STEVE POIZNER	1	0	10001150200087	10001150200087
004655.jpg	PROPOSITION 71	YES	1	0	20001140400065	20001140400065
004907.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004907.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004911.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004911.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004915.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004915.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004919.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004919.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004923.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004923.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004927.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004927.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004931.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004931.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004935.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004935.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004939.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004939.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004943.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004943.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004947.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004947.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004951.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004951.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004955.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004955.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004959.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004959.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004963.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004963.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004967.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004967.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004971.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004971.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004975.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004975.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004979.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004979.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004983.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004983.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004987.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
004987.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
004991.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004991.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004995.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004995.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
004999.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
004999.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005003.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005003.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005007.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005007.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005011.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005011.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005015.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005015.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005019.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005019.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005023.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005023.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005027.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005027.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005031.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005031.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005035.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005035.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005039.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005039.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005043.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005043.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005047.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005047.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005051.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005051.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005055.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005055.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005055.jpg	PROPOSITION 72	YES	0	1	20001200400094	20001200400094
005059.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005059.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005063.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005063.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005067.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005067.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005071.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005071.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005075.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005075.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005079.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005079.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005083.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005083.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005087.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005087.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005091.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005091.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005095.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005095.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005099.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005099.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005103.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005103.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005107.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005107.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005111.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005111.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005115.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005115.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005118.jpg	SUPERINTENDENT OF PUBLIC INSTRUCTION	TONY K. THURMOND	1	0	20001200300087	20001200300087
005119.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005119.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005123.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005123.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005127.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005127.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005131.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005131.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005135.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005135.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005139.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005139.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005143.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005143.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005147.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005147.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005151.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005151.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005155.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005155.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005159.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005159.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005163.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005163.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005167.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005167.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005171.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005171.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005175.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005175.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005179.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005179.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005183.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005183.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005187.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005187.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005191.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005191.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005195.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005195.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005199.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005199.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005203.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005203.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005207.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005207.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005211.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005211.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005215.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005215.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005219.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005219.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005223.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005223.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005227.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005227.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005231.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005231.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005235.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005235.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005239.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005239.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005243.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005243.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005247.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005247.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005251.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005251.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005255.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005255.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005259.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005259.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005263.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005263.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005267.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005267.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005271.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005271.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005275.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005275.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005279.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005279.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005283.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005283.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005287.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005287.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005291.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005291.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005295.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005295.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005299.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005299.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005303.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005303.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005307.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005307.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005311.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005311.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005315.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005315.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005319.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005319.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005323.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005323.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005327.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005327.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005331.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005331.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005335.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005335.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005339.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005339.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005343.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005343.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005347.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005347.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005351.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005351.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005355.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005355.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005359.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005359.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005363.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005363.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005367.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005367.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005371.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005371.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005375.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005375.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005379.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005379.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005383.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005383.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005387.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005387.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005391.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005391.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005395.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005395.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005399.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005399.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005403.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005403.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005407.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005407.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005411.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005411.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005415.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005415.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005419.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005419.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005423.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005423.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005427.jpg	PROPOSITION 71	NO	1	None	None	20001200400094
005427.jpg	PROPOSITION 71	YES	0	None	None	20001200400094
005431.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005431.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005435.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005435.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005439.jpg	PROPOSITION 71	NO	0	None	None	20001200400094
005439.jpg	PROPOSITION 71	YES	1	None	None	20001200400094
005523.jpg	DISTRICT ATTORNEY	MAGGIE FLEMING	1	0	20001190400073	20001190400073
005639.jpg	PROPOSITION 70	NO	0	1	20001190400073	20001190400073
005687.jpg	DISTRICT ATTORNEY	MAGGIE FLEMING	1	0	20001190400073	20001190400073
005755.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005759.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005763.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005767.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005771.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005775.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005779.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005783.jpg	PROPOSITION 72	NO	1	None	None	20001180400052
005787.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005791.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005795.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005799.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005803.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005807.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005811.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005815.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005819.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005823.jpg	PROPOSITION 72	NO	1	None	None	20001180400052
005827.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005831.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005835.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005839.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005843.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005847.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005851.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005855.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005859.jpg	PROPOSITION 72	NO	1	None	None	20001180400052
005863.jpg	PROPOSITION 72	NO	1	None	None	20001180400052
005867.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005871.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005875.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005879.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005883.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005887.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005891.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
005895.jpg	PROPOSITION 72	NO	0	None	None	20001180400052
